file
568
3.70E-03	-1.58E-04	2.99E-03	-4.58E-04	0.000102955
-2.15E-03	3.53E-04	-1.61E-03	-1.88E-04	0.0001455
-1.06E-03	6.53E-04	-1.60E-03	1.13E-04	0.00009975
1.42E-03	2.03E-03	8.78E-04	1.49E-03	0.000121579
2.09E-03	-5.33E-04	2.74E-03	-9.38E-04	0.000170833
3.23E-04	6.53E-04	-2.25E-05	-2.25E-05	0.000141429
-6.23E-04	2.57E-03	-9.68E-04	1.90E-03	0.000113571
1.75E-03	-1.58E-04	9.98E-04	-2.48E-04	0.000132353
-3.14E-03	-1.76E-03	-3.41E-03	-2.47E-03	0.00015975
1.51E-03	6.08E-04	8.63E-04	2.18E-04	0.00010875
-1.64E-03	-7.50E-06	-1.61E-03	-7.58E-04	0.000111818
-8.03E-04	1.55E-03	-1.39E-03	1.09E-03	0.000100714
-3.08E-04	2.93E-03	-6.83E-04	2.29E-03	0.0001525
-3.07E-03	-1.78E-03	-3.31E-03	-2.48E-03	0.000130588
-3.19E-03	1.31E-03	-2.48E-03	1.07E-03	0.000133
9.83E-04	1.16E-03	4.43E-04	6.53E-04	0.000110217
-8.03E-04	7.13E-04	-2.78E-04	1.88E-04	0.000151875
2.12E-03	1.61E-03	1.60E-03	1.09E-03	0.0001125
3.29E-03	2.25E-05	2.56E-03	-8.25E-05	0.000156522
4.88E-04	-3.68E-04	-2.48E-04	-4.73E-04	0.00012375
3.44E-03	7.28E-04	2.92E-03	2.03E-04	0.00009675
6.53E-04	9.98E-04	-6.75E-05	8.18E-04	8.53125E-05
2.14E-03	1.91E-03	1.42E-03	1.73E-03	0.00009
2.25E-05	2.18E-04	4.58E-04	-3.83E-04	0.00012
-5.25E-05	1.73E-04	6.38E-04	-9.75E-05	0.00011775
-1.54E-03	2.63E-03	-1.18E-03	1.99E-03	0.000181765
6.68E-04	4.28E-04	1.36E-03	1.73E-04	0.000137143
-1.12E-03	9.23E-04	-1.67E-03	4.43E-04	0.00012079
-8.48E-04	9.83E-04	-3.68E-04	4.28E-04	0.0001065
